timestamp,open,high,low,close,volume
2024-09-17,50.0,50.0,50.0,50.0,0.0
2024-09-18,50.0,50.0,50.0,50.0,0.0
2024-09-19,50.0,50.0,50.0,50.0,0.0
2024-09-20,50.0,50.0,50.0,50.0,0.0
2024-09-23,50.0,50.0,50.0,50.0,0.0
2024-09-24,50.0,50.0,50.0,50.0,0.0
2024-09-25,50.0,50.0,50.0,50.0,0.0
2024-09-26,50.0,50.0,50.0,50.0,0.0
2024-09-27,50.0,50.0,50.0,50.0,0.0
2024-09-30,50.0,50.0,50.0,50.0,0.0
2024-10-01,50.0,50.0,50.0,50.0,0.0
2024-10-02,50.0,50.0,50.0,50.0,0.0
2024-10-03,50.0,50.0,50.0,50.0,0.0
2024-10-04,50.0,50.0,50.0,50.0,0.0
2024-10-07,50.0,50.0,50.0,50.0,0.0
2024-10-08,50.0,50.0,50.0,50.0,0.0
2024-10-09,50.0,50.0,50.0,50.0,0.0
2024-10-10,50.0,50.0,50.0,50.0,0.0
2024-10-11,50.0,50.0,50.0,50.0,0.0
2024-10-14,50.0,50.0,50.0,50.0,0.0
2024-10-15,50.0,50.0,50.0,50.0,0.0
2024-10-16,50.0,50.0,50.0,50.0,0.0
2024-10-17,50.0,50.0,50.0,50.0,0.0
2024-10-18,50.0,50.0,50.0,50.0,0.0
2024-10-21,50.0,50.0,50.0,50.0,0.0
2024-10-22,50.0,50.0,50.0,50.0,0.0
2024-10-23,50.0,50.0,50.0,50.0,0.0
2024-10-24,50.0,50.0,50.0,50.0,0.0
2024-10-25,50.0,50.0,50.0,50.0,0.0
2024-10-28,50.0,50.0,50.0,50.0,0.0
2024-10-29,50.0,50.0,50.0,50.0,0.0
2024-10-30,50.0,50.0,50.0,50.0,0.0
2024-10-31,50.0,50.0,50.0,50.0,0.0
2024-11-01,50.0,50.0,50.0,50.0,0.0
2024-11-04,50.0,50.0,50.0,50.0,0.0
2024-11-05,50.0,50.0,50.0,50.0,0.0
2024-11-06,50.0,50.0,50.0,50.0,0.0
2024-11-07,50.0,50.0,50.0,50.0,0.0
2024-11-08,50.0,50.0,50.0,50.0,0.0
2024-11-11,50.0,50.0,50.0,50.0,0.0
2024-11-12,50.0,50.0,50.0,50.0,0.0
2024-11-13,50.0,50.0,50.0,50.0,0.0
2024-11-14,50.0,50.0,50.0,50.0,0.0
2024-11-15,50.0,50.0,50.0,50.0,0.0
2024-11-18,50.0,50.0,50.0,50.0,0.0
2024-11-19,50.0,50.0,50.0,50.0,0.0
2024-11-20,50.0,50.0,50.0,50.0,0.0
2024-11-21,50.0,50.0,50.0,50.0,0.0
2024-11-22,50.0,50.0,50.0,50.0,0.0
2024-11-25,50.0,50.0,50.0,50.0,0.0
2024-11-26,50.0,50.0,50.0,50.0,0.0
2024-11-28,50.0,50.0,50.0,50.0,0.0
2024-11-29,50.0,50.0,50.0,50.0,0.0
2024-12-02,50.0,50.0,50.0,50.0,0.0
2024-12-03,50.0,50.0,50.0,50.0,0.0
2024-12-04,50.0,50.0,50.0,50.0,0.0
2024-12-05,50.0,50.0,50.0,50.0,0.0
2024-12-06,50.0,50.0,50.0,50.0,0.0
2024-12-09,50.0,50.0,50.0,50.0,0.0
2024-12-10,50.0,50.0,50.0,50.0,0.0
2024-12-11,50.0,50.0,50.0,50.0,0.0
2024-12-12,50.0,50.0,50.0,50.0,0.0
2024-12-13,50.0,50.0,50.0,50.0,0.0
2024-12-16,50.0,50.0,50.0,50.0,0.0
2024-12-17,50.0,50.0,50.0,50.0,0.0
2024-12-18,50.0,50.0,50.0,50.0,0.0
2024-12-19,50.0,50.0,50.0,50.0,0.0
2024-12-20,50.0,50.0,50.0,50.0,0.0
2024-12-23,50.0,50.0,50.0,50.0,0.0
2024-12-24,50.0,50.0,50.0,50.0,0.0
2024-12-27,50.0,50.0,50.0,50.0,0.0
2024-12-30,50.0,50.0,50.0,50.0,0.0
2025-01-02,50.0,50.0,50.0,50.0,0.0
2025-01-03,50.0,50.0,50.0,50.0,0.0
2025-01-06,50.0,50.0,50.0,50.0,0.0
2025-01-07,50.0,50.0,50.0,50.0,0.0
2025-01-08,50.0,50.0,50.0,50.0,0.0
2025-01-09,50.0,50.0,50.0,50.0,0.0
2025-01-10,50.0,50.0,50.0,50.0,0.0
2025-01-13,50.0,50.0,50.0,50.0,0.0
2025-01-14,50.0,50.0,50.0,50.0,0.0
2025-01-15,50.0,50.0,50.0,50.0,0.0
2025-01-16,50.0,50.0,50.0,50.0,0.0
2025-01-17,50.0,50.0,50.0,50.0,0.0
2025-01-20,50.0,50.0,50.0,50.0,0.0
2025-01-21,50.0,50.0,50.0,50.0,0.0
2025-01-22,50.0,50.0,50.0,50.0,0.0
2025-01-23,50.0,50.0,50.0,50.0,0.0
2025-01-24,50.0,50.0,50.0,50.0,0.0
2025-01-30,50.0,50.0,50.0,50.0,0.0
2025-01-31,50.0,50.0,50.0,50.0,0.0
2025-02-03,50.0,50.0,50.0,50.0,0.0
2025-02-04,50.0,50.0,50.0,50.0,0.0
2025-02-05,50.0,50.0,50.0,50.0,0.0
2025-02-06,50.0,50.0,50.0,50.0,0.0
2025-02-07,50.0,50.0,50.0,50.0,0.0
2025-02-10,50.0,50.0,50.0,50.0,0.0
2025-02-11,50.0,50.0,50.0,50.0,0.0
2025-02-12,50.0,50.0,50.0,50.0,0.0
2025-02-13,50.0,50.0,50.0,50.0,0.0
2025-02-14,50.0,50.0,50.0,50.0,0.0
2025-02-17,50.0,50.0,50.0,50.0,0.0
2025-02-18,50.0,50.0,50.0,50.0,0.0
2025-02-19,50.0,50.0,50.0,50.0,0.0
2025-02-20,50.0,50.0,50.0,50.0,0.0
2025-02-21,50.0,50.0,50.0,50.0,0.0
2025-02-24,50.0,50.0,50.0,50.0,0.0
2025-02-25,50.0,50.0,50.0,50.0,0.0
2025-02-26,50.0,50.0,50.0,50.0,0.0
2025-02-27,50.0,50.0,50.0,50.0,0.0
2025-02-28,50.0,50.0,50.0,50.0,0.0
2025-03-03,50.0,50.0,50.0,50.0,0.0
2025-03-04,50.0,50.0,50.0,50.0,0.0
2025-03-05,50.0,50.0,50.0,50.0,0.0
2025-03-06,50.0,50.0,50.0,50.0,0.0
2025-03-07,50.0,50.0,50.0,50.0,0.0
2025-03-10,50.0,50.0,50.0,50.0,0.0
2025-03-11,50.0,50.0,50.0,50.0,0.0
2025-03-12,50.0,50.0,50.0,50.0,0.0
2025-03-13,50.0,50.0,50.0,50.0,0.0
2025-03-14,50.0,50.0,50.0,50.0,0.0
2025-03-17,50.0,50.0,50.0,50.0,0.0
2025-03-18,50.0,50.0,50.0,50.0,0.0
2025-03-19,50.0,50.0,50.0,50.0,0.0
2025-03-20,50.0,50.0,50.0,50.0,0.0
2025-03-21,50.0,50.0,50.0,50.0,0.0
2025-03-24,50.0,50.0,50.0,50.0,0.0
2025-03-25,50.0,50.0,50.0,50.0,0.0
2025-03-26,50.0,50.0,50.0,50.0,0.0
2025-03-27,50.0,50.0,50.0,50.0,0.0
2025-04-08,50.0,50.0,50.0,50.0,0.0
2025-04-09,50.0,50.0,50.0,50.0,0.0
2025-04-10,50.0,50.0,50.0,50.0,0.0
2025-04-11,50.0,50.0,50.0,50.0,0.0
2025-04-14,50.0,50.0,50.0,50.0,0.0
2025-04-15,50.0,50.0,50.0,50.0,0.0
2025-04-16,50.0,50.0,50.0,50.0,0.0
2025-04-17,50.0,50.0,50.0,50.0,0.0
2025-04-21,50.0,50.0,50.0,50.0,0.0
2025-04-22,50.0,50.0,50.0,50.0,0.0
2025-04-23,50.0,50.0,50.0,50.0,0.0
2025-04-24,50.0,50.0,50.0,50.0,0.0
2025-04-25,50.0,50.0,50.0,50.0,0.0
2025-04-28,50.0,50.0,50.0,50.0,0.0
2025-04-29,50.0,50.0,50.0,50.0,0.0
2025-04-30,50.0,50.0,50.0,50.0,0.0
2025-05-02,50.0,50.0,50.0,50.0,0.0
2025-05-05,50.0,50.0,50.0,50.0,0.0
2025-05-06,50.0,50.0,50.0,50.0,0.0
2025-05-07,50.0,50.0,50.0,50.0,0.0
2025-05-08,50.0,50.0,50.0,50.0,0.0
2025-05-09,50.0,50.0,50.0,50.0,0.0
2025-05-14,50.0,50.0,50.0,50.0,0.0
2025-05-15,50.0,50.0,50.0,50.0,0.0
2025-05-16,50.0,50.0,50.0,50.0,0.0
2025-05-19,50.0,50.0,50.0,50.0,0.0
2025-05-20,50.0,50.0,50.0,50.0,0.0
2025-05-21,50.0,50.0,50.0,50.0,0.0
2025-05-22,50.0,50.0,50.0,50.0,0.0
2025-05-23,50.0,50.0,50.0,50.0,0.0
2025-05-26,50.0,50.0,50.0,50.0,0.0
2025-05-27,50.0,50.0,50.0,50.0,0.0
2025-05-28,50.0,50.0,50.0,50.0,0.0
2025-06-02,50.0,50.0,50.0,50.0,0.0
2025-06-03,50.0,50.0,50.0,50.0,0.0
2025-06-04,50.0,50.0,50.0,50.0,0.0
2025-06-05,50.0,50.0,50.0,50.0,0.0
2025-06-10,50.0,50.0,50.0,50.0,0.0
2025-06-11,50.0,50.0,50.0,50.0,0.0
2025-06-12,50.0,50.0,50.0,50.0,0.0
2025-06-13,50.0,50.0,50.0,50.0,0.0
2025-06-16,50.0,50.0,50.0,50.0,0.0
2025-06-17,50.0,50.0,50.0,50.0,0.0
2025-06-18,50.0,50.0,50.0,50.0,0.0
2025-06-19,50.0,50.0,50.0,50.0,0.0
2025-06-20,50.0,50.0,50.0,50.0,0.0
2025-06-23,50.0,50.0,50.0,50.0,0.0
2025-06-24,50.0,50.0,50.0,50.0,0.0
2025-06-25,50.0,50.0,50.0,50.0,0.0
2025-06-26,50.0,50.0,50.0,50.0,0.0
2025-06-30,50.0,50.0,50.0,50.0,0.0
2025-07-01,50.0,50.0,50.0,50.0,0.0
2025-07-02,50.0,50.0,50.0,50.0,0.0
2025-07-03,50.0,50.0,50.0,50.0,0.0
2025-07-04,50.0,50.0,50.0,50.0,0.0
2025-07-07,50.0,50.0,50.0,50.0,0.0
2025-07-08,50.0,50.0,50.0,50.0,0.0
2025-07-09,50.0,50.0,50.0,50.0,0.0
2025-07-10,50.0,50.0,50.0,50.0,0.0
2025-07-11,50.0,50.0,50.0,50.0,0.0
2025-07-14,50.0,50.0,50.0,50.0,0.0
2025-07-15,50.0,50.0,50.0,50.0,0.0
2025-07-16,50.0,50.0,50.0,50.0,0.0
2025-07-17,50.0,50.0,50.0,50.0,0.0
2025-07-18,50.0,50.0,50.0,50.0,0.0
2025-07-21,50.0,50.0,50.0,50.0,0.0
2025-07-22,50.0,50.0,50.0,50.0,0.0
2025-07-23,50.0,50.0,50.0,50.0,0.0
2025-07-24,50.0,50.0,50.0,50.0,0.0
2025-07-25,50.0,50.0,50.0,50.0,0.0
2025-07-28,50.0,50.0,50.0,50.0,0.0
2025-07-29,50.0,50.0,50.0,50.0,0.0
2025-07-30,50.0,50.0,50.0,50.0,0.0
2025-07-31,50.0,50.0,50.0,50.0,0.0
2025-08-01,50.0,50.0,50.0,50.0,0.0
2025-08-04,50.0,50.0,50.0,50.0,0.0
2025-08-05,50.0,50.0,50.0,50.0,0.0
2025-08-06,50.0,50.0,50.0,50.0,0.0
2025-08-07,50.0,50.0,50.0,50.0,0.0
2025-08-08,50.0,50.0,50.0,50.0,0.0
2025-08-11,50.0,50.0,50.0,50.0,0.0
2025-08-12,50.0,50.0,50.0,50.0,0.0
2025-08-13,50.0,50.0,50.0,50.0,0.0
2025-08-14,50.0,50.0,50.0,50.0,0.0
2025-08-15,50.0,50.0,50.0,50.0,0.0
2025-08-19,50.0,50.0,50.0,50.0,0.0
2025-08-20,50.0,50.0,50.0,50.0,0.0
2025-08-21,50.0,50.0,50.0,50.0,0.0
2025-08-22,50.0,50.0,50.0,50.0,0.0
2025-08-25,50.0,50.0,50.0,50.0,0.0
2025-08-26,50.0,50.0,50.0,50.0,0.0
2025-08-27,50.0,50.0,50.0,50.0,0.0
2025-08-28,50.0,50.0,50.0,50.0,0.0
2025-08-29,50.0,50.0,50.0,50.0,0.0
2025-09-01,50.0,50.0,50.0,50.0,0.0
2025-09-02,50.0,50.0,50.0,50.0,0.0
2025-09-03,50.0,50.0,50.0,50.0,0.0
2025-09-04,50.0,50.0,50.0,50.0,0.0
2025-09-08,50.0,50.0,50.0,50.0,0.0
2025-09-09,50.0,50.0,50.0,50.0,0.0
2025-09-10,50.0,50.0,50.0,50.0,0.0
2025-09-11,50.0,50.0,50.0,50.0,0.0
2025-09-12,50.0,50.0,50.0,50.0,0.0
2025-09-15,50.0,50.0,50.0,50.0,0.0
